target,parents,has_nurs,form,children,housing,finance,social,health
priority_2398,0,2,3,0,1,0,1,1
not_recom_2399,0,2,3,0,1,0,1,2
priority_2400,0,2,3,0,1,0,2,0
priority_2401,0,2,3,0,1,0,2,1
not_recom_2402,0,2,3,0,1,0,2,2
priority_2403,0,2,3,0,1,1,0,0
priority_2404,0,2,3,0,1,1,0,1
not_recom_2405,0,2,3,0,1,1,0,2
priority_2406,0,2,3,0,1,1,1,0
priority_2407,0,2,3,0,1,1,1,1
not_recom_2408,0,2,3,0,1,1,1,2
priority_2409,0,2,3,0,1,1,2,0
priority_2410,0,2,3,0,1,1,2,1
not_recom_2411,0,2,3,0,1,1,2,2
priority_2412,0,2,3,0,2,0,0,0
priority_2413,0,2,3,0,2,0,0,1
not_recom_2414,0,2,3,0,2,0,0,2
priority_2415,0,2,3,0,2,0,1,0
priority_2416,0,2,3,0,2,0,1,1
not_recom_2417,0,2,3,0,2,0,1,2
priority_2418,0,2,3,0,2,0,2,0
priority_2419,0,2,3,0,2,0,2,1
not_recom_2420,0,2,3,0,2,0,2,2
priority_2421,0,2,3,0,2,1,0,0
priority_2422,0,2,3,0,2,1,0,1
not_recom_2423,0,2,3,0,2,1,0,2
priority_2424,0,2,3,0,2,1,1,0
priority_2425,0,2,3,0,2,1,1,1
not_recom_2426,0,2,3,0,2,1,1,2
priority_2427,0,2,3,0,2,1,2,0
priority_2428,0,2,3,0,2,1,2,1
not_recom_2429,0,2,3,0,2,1,2,2
very_recom_2430,0,2,3,1,0,0,0,0
priority_2431,0,2,3,1,0,0,0,1
not_recom_2432,0,2,3,1,0,0,0,2
very_recom_2433,0,2,3,1,0,0,1,0
priority_2434,0,2,3,1,0,0,1,1
not_recom_2435,0,2,3,1,0,0,1,2
priority_2436,0,2,3,1,0,0,2,0
priority_2437,0,2,3,1,0,0,2,1
not_recom_2438,0,2,3,1,0,0,2,2
priority_2439,0,2,3,1,0,1,0,0
priority_2440,0,2,3,1,0,1,0,1
not_recom_2441,0,2,3,1,0,1,0,2
priority_2442,0,2,3,1,0,1,1,0
priority_2443,0,2,3,1,0,1,1,1
not_recom_2444,0,2,3,1,0,1,1,2
priority_2445,0,2,3,1,0,1,2,0
priority_2446,0,2,3,1,0,1,2,1
not_recom_2447,0,2,3,1,0,1,2,2
priority_2448,0,2,3,1,1,0,0,0
priority_2449,0,2,3,1,1,0,0,1
not_recom_2450,0,2,3,1,1,0,0,2
priority_2451,0,2,3,1,1,0,1,0
priority_2452,0,2,3,1,1,0,1,1
not_recom_2453,0,2,3,1,1,0,1,2
priority_2454,0,2,3,1,1,0,2,0
priority_2455,0,2,3,1,1,0,2,1
not_recom_2456,0,2,3,1,1,0,2,2
priority_2457,0,2,3,1,1,1,0,0
priority_2458,0,2,3,1,1,1,0,1
not_recom_2459,0,2,3,1,1,1,0,2
priority_2460,0,2,3,1,1,1,1,0
priority_2461,0,2,3,1,1,1,1,1
not_recom_2462,0,2,3,1,1,1,1,2
priority_2463,0,2,3,1,1,1,2,0
priority_2464,0,2,3,1,1,1,2,1
not_recom_2465,0,2,3,1,1,1,2,2
priority_2466,0,2,3,1,2,0,0,0
priority_2467,0,2,3,1,2,0,0,1
not_recom_2468,0,2,3,1,2,0,0,2
priority_2469,0,2,3,1,2,0,1,0
priority_2470,0,2,3,1,2,0,1,1
not_recom_2471,0,2,3,1,2,0,1,2
priority_2472,0,2,3,1,2,0,2,0
priority_2473,0,2,3,1,2,0,2,1
not_recom_2474,0,2,3,1,2,0,2,2
priority_2475,0,2,3,1,2,1,0,0
priority_2476,0,2,3,1,2,1,0,1
not_recom_2477,0,2,3,1,2,1,0,2
priority_2478,0,2,3,1,2,1,1,0
priority_2479,0,2,3,1,2,1,1,1
not_recom_2480,0,2,3,1,2,1,1,2
priority_2481,0,2,3,1,2,1,2,0
priority_2482,0,2,3,1,2,1,2,1
not_recom_2483,0,2,3,1,2,1,2,2
very_recom_2484,0,2,3,2,0,0,0,0
priority_2485,0,2,3,2,0,0,0,1
not_recom_2486,0,2,3,2,0,0,0,2
very_recom_2487,0,2,3,2,0,0,1,0
priority_2488,0,2,3,2,0,0,1,1
not_recom_2489,0,2,3,2,0,0,1,2
priority_2490,0,2,3,2,0,0,2,0
priority_2491,0,2,3,2,0,0,2,1
not_recom_2492,0,2,3,2,0,0,2,2
priority_2493,0,2,3,2,0,1,0,0
priority_2494,0,2,3,2,0,1,0,1
not_recom_2495,0,2,3,2,0,1,0,2
priority_2496,0,2,3,2,0,1,1,0
priority_2497,0,2,3,2,0,1,1,1
not_recom_2498,0,2,3,2,0,1,1,2
priority_2499,0,2,3,2,0,1,2,0
priority_2500,0,2,3,2,0,1,2,1
not_recom_2501,0,2,3,2,0,1,2,2
priority_2502,0,2,3,2,1,0,0,0
priority_2503,0,2,3,2,1,0,0,1
not_recom_2504,0,2,3,2,1,0,0,2
priority_2505,0,2,3,2,1,0,1,0
priority_2506,0,2,3,2,1,0,1,1
not_recom_2507,0,2,3,2,1,0,1,2
priority_2508,0,2,3,2,1,0,2,0
priority_2509,0,2,3,2,1,0,2,1
not_recom_2510,0,2,3,2,1,0,2,2
priority_2511,0,2,3,2,1,1,0,0
priority_2512,0,2,3,2,1,1,0,1
not_recom_2513,0,2,3,2,1,1,0,2
priority_2514,0,2,3,2,1,1,1,0
priority_2515,0,2,3,2,1,1,1,1
not_recom_2516,0,2,3,2,1,1,1,2
priority_2517,0,2,3,2,1,1,2,0
priority_2518,0,2,3,2,1,1,2,1
not_recom_2519,0,2,3,2,1,1,2,2
priority_2520,0,2,3,2,2,0,0,0
priority_2521,0,2,3,2,2,0,0,1
not_recom_2522,0,2,3,2,2,0,0,2
priority_2523,0,2,3,2,2,0,1,0
priority_2524,0,2,3,2,2,0,1,1
not_recom_2525,0,2,3,2,2,0,1,2
priority_2526,0,2,3,2,2,0,2,0
priority_2527,0,2,3,2,2,0,2,1
not_recom_2528,0,2,3,2,2,0,2,2
priority_2529,0,2,3,2,2,1,0,0
priority_2530,0,2,3,2,2,1,0,1
not_recom_2531,0,2,3,2,2,1,0,2
priority_2532,0,2,3,2,2,1,1,0
priority_2533,0,2,3,2,2,1,1,1
not_recom_2534,0,2,3,2,2,1,1,2
priority_2535,0,2,3,2,2,1,2,0
priority_2536,0,2,3,2,2,1,2,1
not_recom_2537,0,2,3,2,2,1,2,2
very_recom_2538,0,2,3,3,0,0,0,0
priority_2539,0,2,3,3,0,0,0,1
not_recom_2540,0,2,3,3,0,0,0,2
very_recom_2541,0,2,3,3,0,0,1,0
priority_2542,0,2,3,3,0,0,1,1
not_recom_2543,0,2,3,3,0,0,1,2
priority_2544,0,2,3,3,0,0,2,0
priority_2545,0,2,3,3,0,0,2,1
not_recom_2546,0,2,3,3,0,0,2,2
priority_2547,0,2,3,3,0,1,0,0
priority_2548,0,2,3,3,0,1,0,1
not_recom_2549,0,2,3,3,0,1,0,2
priority_2550,0,2,3,3,0,1,1,0
priority_2551,0,2,3,3,0,1,1,1
not_recom_2552,0,2,3,3,0,1,1,2
priority_2553,0,2,3,3,0,1,2,0
priority_2554,0,2,3,3,0,1,2,1
not_recom_2555,0,2,3,3,0,1,2,2
priority_2556,0,2,3,3,1,0,0,0
priority_2557,0,2,3,3,1,0,0,1
not_recom_2558,0,2,3,3,1,0,0,2
priority_2559,0,2,3,3,1,0,1,0
priority_2560,0,2,3,3,1,0,1,1
not_recom_2561,0,2,3,3,1,0,1,2
priority_2562,0,2,3,3,1,0,2,0
priority_2563,0,2,3,3,1,0,2,1
not_recom_2564,0,2,3,3,1,0,2,2
priority_2565,0,2,3,3,1,1,0,0
priority_2566,0,2,3,3,1,1,0,1
not_recom_2567,0,2,3,3,1,1,0,2
priority_2568,0,2,3,3,1,1,1,0
priority_2569,0,2,3,3,1,1,1,1
not_recom_2570,0,2,3,3,1,1,1,2
priority_2571,0,2,3,3,1,1,2,0
priority_2572,0,2,3,3,1,1,2,1
not_recom_2573,0,2,3,3,1,1,2,2
priority_2574,0,2,3,3,2,0,0,0
priority_2575,0,2,3,3,2,0,0,1
not_recom_2576,0,2,3,3,2,0,0,2
priority_2577,0,2,3,3,2,0,1,0
priority_2578,0,2,3,3,2,0,1,1
not_recom_2579,0,2,3,3,2,0,1,2
priority_2580,0,2,3,3,2,0,2,0
priority_2581,0,2,3,3,2,0,2,1
not_recom_2582,0,2,3,3,2,0,2,2
priority_2583,0,2,3,3,2,1,0,0
priority_2584,0,2,3,3,2,1,0,1
not_recom_2585,0,2,3,3,2,1,0,2
priority_2586,0,2,3,3,2,1,1,0
priority_2587,0,2,3,3,2,1,1,1
not_recom_2588,0,2,3,3,2,1,1,2
priority_2589,0,2,3,3,2,1,2,0
priority_2590,0,2,3,3,2,1,2,1
not_recom_2591,0,2,3,3,2,1,2,2
priority_2592,0,3,0,0,0,0,0,0
priority_2593,0,3,0,0,0,0,0,1
not_recom_2594,0,3,0,0,0,0,0,2
priority_2595,0,3,0,0,0,0,1,0
priority_2596,0,3,0,0,0,0,1,1
not_recom_2597,0,3,0,0,0,0,1,2
priority_2598,0,3,0,0,0,0,2,0
priority_2599,0,3,0,0,0,0,2,1
not_recom_2600,0,3,0,0,0,0,2,2
priority_2601,0,3,0,0,0,1,0,0
priority_2602,0,3,0,0,0,1,0,1
not_recom_2603,0,3,0,0,0,1,0,2
priority_2604,0,3,0,0,0,1,1,0
priority_2605,0,3,0,0,0,1,1,1
not_recom_2606,0,3,0,0,0,1,1,2
priority_2607,0,3,0,0,0,1,2,0
priority_2608,0,3,0,0,0,1,2,1
not_recom_2609,0,3,0,0,0,1,2,2
priority_2610,0,3,0,0,1,0,0,0
priority_2611,0,3,0,0,1,0,0,1
not_recom_2612,0,3,0,0,1,0,0,2
priority_2613,0,3,0,0,1,0,1,0
priority_2614,0,3,0,0,1,0,1,1
not_recom_2615,0,3,0,0,1,0,1,2
priority_2616,0,3,0,0,1,0,2,0
priority_2617,0,3,0,0,1,0,2,1
not_recom_2618,0,3,0,0,1,0,2,2
priority_2619,0,3,0,0,1,1,0,0
priority_2620,0,3,0,0,1,1,0,1
not_recom_2621,0,3,0,0,1,1,0,2
priority_2622,0,3,0,0,1,1,1,0
priority_2623,0,3,0,0,1,1,1,1
not_recom_2624,0,3,0,0,1,1,1,2
priority_2625,0,3,0,0,1,1,2,0
priority_2626,0,3,0,0,1,1,2,1
not_recom_2627,0,3,0,0,1,1,2,2
priority_2628,0,3,0,0,2,0,0,0
priority_2629,0,3,0,0,2,0,0,1
not_recom_2630,0,3,0,0,2,0,0,2
priority_2631,0,3,0,0,2,0,1,0
priority_2632,0,3,0,0,2,0,1,1
not_recom_2633,0,3,0,0,2,0,1,2
priority_2634,0,3,0,0,2,0,2,0
priority_2635,0,3,0,0,2,0,2,1
not_recom_2636,0,3,0,0,2,0,2,2
priority_2637,0,3,0,0,2,1,0,0
priority_2638,0,3,0,0,2,1,0,1
not_recom_2639,0,3,0,0,2,1,0,2
priority_2640,0,3,0,0,2,1,1,0
priority_2641,0,3,0,0,2,1,1,1
not_recom_2642,0,3,0,0,2,1,1,2
priority_2643,0,3,0,0,2,1,2,0
priority_2644,0,3,0,0,2,1,2,1
not_recom_2645,0,3,0,0,2,1,2,2
priority_2646,0,3,0,1,0,0,0,0
priority_2647,0,3,0,1,0,0,0,1
not_recom_2648,0,3,0,1,0,0,0,2
priority_2649,0,3,0,1,0,0,1,0
priority_2650,0,3,0,1,0,0,1,1
not_recom_2651,0,3,0,1,0,0,1,2
priority_2652,0,3,0,1,0,0,2,0
priority_2653,0,3,0,1,0,0,2,1
not_recom_2654,0,3,0,1,0,0,2,2
priority_2655,0,3,0,1,0,1,0,0
priority_2656,0,3,0,1,0,1,0,1
not_recom_2657,0,3,0,1,0,1,0,2
priority_2658,0,3,0,1,0,1,1,0
priority_2659,0,3,0,1,0,1,1,1
not_recom_2660,0,3,0,1,0,1,1,2
priority_2661,0,3,0,1,0,1,2,0
priority_2662,0,3,0,1,0,1,2,1
not_recom_2663,0,3,0,1,0,1,2,2
priority_2664,0,3,0,1,1,0,0,0
priority_2665,0,3,0,1,1,0,0,1
not_recom_2666,0,3,0,1,1,0,0,2
priority_2667,0,3,0,1,1,0,1,0
priority_2668,0,3,0,1,1,0,1,1
not_recom_2669,0,3,0,1,1,0,1,2
priority_2670,0,3,0,1,1,0,2,0
priority_2671,0,3,0,1,1,0,2,1
not_recom_2672,0,3,0,1,1,0,2,2
priority_2673,0,3,0,1,1,1,0,0
priority_2674,0,3,0,1,1,1,0,1
not_recom_2675,0,3,0,1,1,1,0,2
priority_2676,0,3,0,1,1,1,1,0
priority_2677,0,3,0,1,1,1,1,1
not_recom_2678,0,3,0,1,1,1,1,2
priority_2679,0,3,0,1,1,1,2,0
priority_2680,0,3,0,1,1,1,2,1
not_recom_2681,0,3,0,1,1,1,2,2
priority_2682,0,3,0,1,2,0,0,0
spec_prior_2683,0,3,0,1,2,0,0,1
not_recom_2684,0,3,0,1,2,0,0,2
priority_2685,0,3,0,1,2,0,1,0
spec_prior_2686,0,3,0,1,2,0,1,1
not_recom_2687,0,3,0,1,2,0,1,2
spec_prior_2688,0,3,0,1,2,0,2,0
spec_prior_2689,0,3,0,1,2,0,2,1
not_recom_2690,0,3,0,1,2,0,2,2
priority_2691,0,3,0,1,2,1,0,0
spec_prior_2692,0,3,0,1,2,1,0,1
not_recom_2693,0,3,0,1,2,1,0,2
priority_2694,0,3,0,1,2,1,1,0
spec_prior_2695,0,3,0,1,2,1,1,1
not_recom_2696,0,3,0,1,2,1,1,2
spec_prior_2697,0,3,0,1,2,1,2,0
spec_prior_2698,0,3,0,1,2,1,2,1
not_recom_2699,0,3,0,1,2,1,2,2
priority_2700,0,3,0,2,0,0,0,0
priority_2701,0,3,0,2,0,0,0,1
not_recom_2702,0,3,0,2,0,0,0,2
priority_2703,0,3,0,2,0,0,1,0
priority_2704,0,3,0,2,0,0,1,1
not_recom_2705,0,3,0,2,0,0,1,2
priority_2706,0,3,0,2,0,0,2,0
priority_2707,0,3,0,2,0,0,2,1
not_recom_2708,0,3,0,2,0,0,2,2
priority_2709,0,3,0,2,0,1,0,0
spec_prior_2710,0,3,0,2,0,1,0,1
not_recom_2711,0,3,0,2,0,1,0,2
priority_2712,0,3,0,2,0,1,1,0
spec_prior_2713,0,3,0,2,0,1,1,1
not_recom_2714,0,3,0,2,0,1,1,2
spec_prior_2715,0,3,0,2,0,1,2,0
spec_prior_2716,0,3,0,2,0,1,2,1
not_recom_2717,0,3,0,2,0,1,2,2
priority_2718,0,3,0,2,1,0,0,0
spec_prior_2719,0,3,0,2,1,0,0,1
not_recom_2720,0,3,0,2,1,0,0,2
priority_2721,0,3,0,2,1,0,1,0
spec_prior_2722,0,3,0,2,1,0,1,1
not_recom_2723,0,3,0,2,1,0,1,2
spec_prior_2724,0,3,0,2,1,0,2,0
spec_prior_2725,0,3,0,2,1,0,2,1
not_recom_2726,0,3,0,2,1,0,2,2
priority_2727,0,3,0,2,1,1,0,0
spec_prior_2728,0,3,0,2,1,1,0,1
not_recom_2729,0,3,0,2,1,1,0,2
priority_2730,0,3,0,2,1,1,1,0
spec_prior_2731,0,3,0,2,1,1,1,1
not_recom_2732,0,3,0,2,1,1,1,2
spec_prior_2733,0,3,0,2,1,1,2,0
spec_prior_2734,0,3,0,2,1,1,2,1
not_recom_2735,0,3,0,2,1,1,2,2
priority_2736,0,3,0,2,2,0,0,0
spec_prior_2737,0,3,0,2,2,0,0,1
not_recom_2738,0,3,0,2,2,0,0,2
priority_2739,0,3,0,2,2,0,1,0
spec_prior_2740,0,3,0,2,2,0,1,1
not_recom_2741,0,3,0,2,2,0,1,2
spec_prior_2742,0,3,0,2,2,0,2,0
spec_prior_2743,0,3,0,2,2,0,2,1
not_recom_2744,0,3,0,2,2,0,2,2
priority_2745,0,3,0,2,2,1,0,0
spec_prior_2746,0,3,0,2,2,1,0,1
not_recom_2747,0,3,0,2,2,1,0,2
priority_2748,0,3,0,2,2,1,1,0
spec_prior_2749,0,3,0,2,2,1,1,1
not_recom_2750,0,3,0,2,2,1,1,2
spec_prior_2751,0,3,0,2,2,1,2,0
spec_prior_2752,0,3,0,2,2,1,2,1
not_recom_2753,0,3,0,2,2,1,2,2
priority_2754,0,3,0,3,0,0,0,0
priority_2755,0,3,0,3,0,0,0,1
not_recom_2756,0,3,0,3,0,0,0,2
priority_2757,0,3,0,3,0,0,1,0
priority_2758,0,3,0,3,0,0,1,1
not_recom_2759,0,3,0,3,0,0,1,2
priority_2760,0,3,0,3,0,0,2,0
priority_2761,0,3,0,3,0,0,2,1
not_recom_2762,0,3,0,3,0,0,2,2
priority_2763,0,3,0,3,0,1,0,0
spec_prior_2764,0,3,0,3,0,1,0,1
not_recom_2765,0,3,0,3,0,1,0,2
priority_2766,0,3,0,3,0,1,1,0
spec_prior_2767,0,3,0,3,0,1,1,1
not_recom_2768,0,3,0,3,0,1,1,2
spec_prior_2769,0,3,0,3,0,1,2,0
spec_prior_2770,0,3,0,3,0,1,2,1
not_recom_2771,0,3,0,3,0,1,2,2
priority_2772,0,3,0,3,1,0,0,0
spec_prior_2773,0,3,0,3,1,0,0,1
not_recom_2774,0,3,0,3,1,0,0,2
priority_2775,0,3,0,3,1,0,1,0
spec_prior_2776,0,3,0,3,1,0,1,1
not_recom_2777,0,3,0,3,1,0,1,2
spec_prior_2778,0,3,0,3,1,0,2,0
spec_prior_2779,0,3,0,3,1,0,2,1
not_recom_2780,0,3,0,3,1,0,2,2
priority_2781,0,3,0,3,1,1,0,0
spec_prior_2782,0,3,0,3,1,1,0,1
not_recom_2783,0,3,0,3,1,1,0,2
priority_2784,0,3,0,3,1,1,1,0
spec_prior_2785,0,3,0,3,1,1,1,1
not_recom_2786,0,3,0,3,1,1,1,2
spec_prior_2787,0,3,0,3,1,1,2,0
spec_prior_2788,0,3,0,3,1,1,2,1
not_recom_2789,0,3,0,3,1,1,2,2
priority_2790,0,3,0,3,2,0,0,0
spec_prior_2791,0,3,0,3,2,0,0,1
not_recom_2792,0,3,0,3,2,0,0,2
priority_2793,0,3,0,3,2,0,1,0
spec_prior_2794,0,3,0,3,2,0,1,1
not_recom_2795,0,3,0,3,2,0,1,2
spec_prior_2796,0,3,0,3,2,0,2,0
spec_prior_2797,0,3,0,3,2,0,2,1
not_recom_2798,0,3,0,3,2,0,2,2
priority_2799,0,3,0,3,2,1,0,0
spec_prior_2800,0,3,0,3,2,1,0,1
not_recom_2801,0,3,0,3,2,1,0,2
priority_2802,0,3,0,3,2,1,1,0
spec_prior_2803,0,3,0,3,2,1,1,1
not_recom_2804,0,3,0,3,2,1,1,2
spec_prior_2805,0,3,0,3,2,1,2,0
spec_prior_2806,0,3,0,3,2,1,2,1
not_recom_2807,0,3,0,3,2,1,2,2
priority_2808,0,3,1,0,0,0,0,0
priority_2809,0,3,1,0,0,0,0,1
not_recom_2810,0,3,1,0,0,0,0,2
priority_2811,0,3,1,0,0,0,1,0
priority_2812,0,3,1,0,0,0,1,1
not_recom_2813,0,3,1,0,0,0,1,2
priority_2814,0,3,1,0,0,0,2,0
priority_2815,0,3,1,0,0,0,2,1
not_recom_2816,0,3,1,0,0,0,2,2
priority_2817,0,3,1,0,0,1,0,0
priority_2818,0,3,1,0,0,1,0,1
not_recom_2819,0,3,1,0,0,1,0,2
priority_2820,0,3,1,0,0,1,1,0
priority_2821,0,3,1,0,0,1,1,1
not_recom_2822,0,3,1,0,0,1,1,2
priority_2823,0,3,1,0,0,1,2,0
priority_2824,0,3,1,0,0,1,2,1
not_recom_2825,0,3,1,0,0,1,2,2
priority_2826,0,3,1,0,1,0,0,0
priority_2827,0,3,1,0,1,0,0,1
not_recom_2828,0,3,1,0,1,0,0,2
priority_2829,0,3,1,0,1,0,1,0
priority_2830,0,3,1,0,1,0,1,1
not_recom_2831,0,3,1,0,1,0,1,2
priority_2832,0,3,1,0,1,0,2,0
priority_2833,0,3,1,0,1,0,2,1
not_recom_2834,0,3,1,0,1,0,2,2
priority_2835,0,3,1,0,1,1,0,0
priority_2836,0,3,1,0,1,1,0,1
not_recom_2837,0,3,1,0,1,1,0,2
priority_2838,0,3,1,0,1,1,1,0
priority_2839,0,3,1,0,1,1,1,1
not_recom_2840,0,3,1,0,1,1,1,2
priority_2841,0,3,1,0,1,1,2,0
priority_2842,0,3,1,0,1,1,2,1
not_recom_2843,0,3,1,0,1,1,2,2
priority_2844,0,3,1,0,2,0,0,0
spec_prior_2845,0,3,1,0,2,0,0,1
not_recom_2846,0,3,1,0,2,0,0,2
priority_2847,0,3,1,0,2,0,1,0
spec_prior_2848,0,3,1,0,2,0,1,1
not_recom_2849,0,3,1,0,2,0,1,2
spec_prior_2850,0,3,1,0,2,0,2,0
spec_prior_2851,0,3,1,0,2,0,2,1
not_recom_2852,0,3,1,0,2,0,2,2
priority_2853,0,3,1,0,2,1,0,0
spec_prior_2854,0,3,1,0,2,1,0,1
not_recom_2855,0,3,1,0,2,1,0,2
priority_2856,0,3,1,0,2,1,1,0
spec_prior_2857,0,3,1,0,2,1,1,1
not_recom_2858,0,3,1,0,2,1,1,2
spec_prior_2859,0,3,1,0,2,1,2,0
spec_prior_2860,0,3,1,0,2,1,2,1
not_recom_2861,0,3,1,0,2,1,2,2
priority_2862,0,3,1,1,0,0,0,0
priority_2863,0,3,1,1,0,0,0,1
not_recom_2864,0,3,1,1,0,0,0,2
priority_2865,0,3,1,1,0,0,1,0
priority_2866,0,3,1,1,0,0,1,1
not_recom_2867,0,3,1,1,0,0,1,2
priority_2868,0,3,1,1,0,0,2,0
priority_2869,0,3,1,1,0,0,2,1
not_recom_2870,0,3,1,1,0,0,2,2
priority_2871,0,3,1,1,0,1,0,0
priority_2872,0,3,1,1,0,1,0,1
not_recom_2873,0,3,1,1,0,1,0,2
priority_2874,0,3,1,1,0,1,1,0
priority_2875,0,3,1,1,0,1,1,1
not_recom_2876,0,3,1,1,0,1,1,2
priority_2877,0,3,1,1,0,1,2,0
priority_2878,0,3,1,1,0,1,2,1
not_recom_2879,0,3,1,1,0,1,2,2
priority_2880,0,3,1,1,1,0,0,0
priority_2881,0,3,1,1,1,0,0,1
not_recom_2882,0,3,1,1,1,0,0,2
priority_2883,0,3,1,1,1,0,1,0
priority_2884,0,3,1,1,1,0,1,1
not_recom_2885,0,3,1,1,1,0,1,2
priority_2886,0,3,1,1,1,0,2,0
priority_2887,0,3,1,1,1,0,2,1
not_recom_2888,0,3,1,1,1,0,2,2
priority_2889,0,3,1,1,1,1,0,0
priority_2890,0,3,1,1,1,1,0,1
not_recom_2891,0,3,1,1,1,1,0,2
priority_2892,0,3,1,1,1,1,1,0
priority_2893,0,3,1,1,1,1,1,1
not_recom_2894,0,3,1,1,1,1,1,2
priority_2895,0,3,1,1,1,1,2,0
priority_2896,0,3,1,1,1,1,2,1
not_recom_2897,0,3,1,1,1,1,2,2
priority_2898,0,3,1,1,2,0,0,0
spec_prior_2899,0,3,1,1,2,0,0,1
not_recom_2900,0,3,1,1,2,0,0,2
priority_2901,0,3,1,1,2,0,1,0
spec_prior_2902,0,3,1,1,2,0,1,1
not_recom_2903,0,3,1,1,2,0,1,2
spec_prior_2904,0,3,1,1,2,0,2,0
spec_prior_2905,0,3,1,1,2,0,2,1
not_recom_2906,0,3,1,1,2,0,2,2
priority_2907,0,3,1,1,2,1,0,0
spec_prior_2908,0,3,1,1,2,1,0,1
not_recom_2909,0,3,1,1,2,1,0,2
priority_2910,0,3,1,1,2,1,1,0
spec_prior_2911,0,3,1,1,2,1,1,1
not_recom_2912,0,3,1,1,2,1,1,2
spec_prior_2913,0,3,1,1,2,1,2,0
spec_prior_2914,0,3,1,1,2,1,2,1
not_recom_2915,0,3,1,1,2,1,2,2
priority_2916,0,3,1,2,0,0,0,0
priority_2917,0,3,1,2,0,0,0,1
not_recom_2918,0,3,1,2,0,0,0,2
priority_2919,0,3,1,2,0,0,1,0
priority_2920,0,3,1,2,0,0,1,1
not_recom_2921,0,3,1,2,0,0,1,2
priority_2922,0,3,1,2,0,0,2,0
priority_2923,0,3,1,2,0,0,2,1
not_recom_2924,0,3,1,2,0,0,2,2
priority_2925,0,3,1,2,0,1,0,0
spec_prior_2926,0,3,1,2,0,1,0,1
not_recom_2927,0,3,1,2,0,1,0,2
priority_2928,0,3,1,2,0,1,1,0
spec_prior_2929,0,3,1,2,0,1,1,1
not_recom_2930,0,3,1,2,0,1,1,2
spec_prior_2931,0,3,1,2,0,1,2,0
spec_prior_2932,0,3,1,2,0,1,2,1
not_recom_2933,0,3,1,2,0,1,2,2
priority_2934,0,3,1,2,1,0,0,0
spec_prior_2935,0,3,1,2,1,0,0,1
not_recom_2936,0,3,1,2,1,0,0,2
priority_2937,0,3,1,2,1,0,1,0
spec_prior_2938,0,3,1,2,1,0,1,1
not_recom_2939,0,3,1,2,1,0,1,2
spec_prior_2940,0,3,1,2,1,0,2,0
spec_prior_2941,0,3,1,2,1,0,2,1
not_recom_2942,0,3,1,2,1,0,2,2
priority_2943,0,3,1,2,1,1,0,0
spec_prior_2944,0,3,1,2,1,1,0,1
not_recom_2945,0,3,1,2,1,1,0,2
priority_2946,0,3,1,2,1,1,1,0
spec_prior_2947,0,3,1,2,1,1,1,1
not_recom_2948,0,3,1,2,1,1,1,2
spec_prior_2949,0,3,1,2,1,1,2,0
spec_prior_2950,0,3,1,2,1,1,2,1
not_recom_2951,0,3,1,2,1,1,2,2
priority_2952,0,3,1,2,2,0,0,0
spec_prior_2953,0,3,1,2,2,0,0,1
not_recom_2954,0,3,1,2,2,0,0,2
priority_2955,0,3,1,2,2,0,1,0
spec_prior_2956,0,3,1,2,2,0,1,1
not_recom_2957,0,3,1,2,2,0,1,2
spec_prior_2958,0,3,1,2,2,0,2,0
spec_prior_2959,0,3,1,2,2,0,2,1
not_recom_2960,0,3,1,2,2,0,2,2
priority_2961,0,3,1,2,2,1,0,0
spec_prior_2962,0,3,1,2,2,1,0,1
not_recom_2963,0,3,1,2,2,1,0,2
priority_2964,0,3,1,2,2,1,1,0
spec_prior_2965,0,3,1,2,2,1,1,1
not_recom_2966,0,3,1,2,2,1,1,2
spec_prior_2967,0,3,1,2,2,1,2,0
spec_prior_2968,0,3,1,2,2,1,2,1
not_recom_2969,0,3,1,2,2,1,2,2
priority_2970,0,3,1,3,0,0,0,0
priority_2971,0,3,1,3,0,0,0,1
not_recom_2972,0,3,1,3,0,0,0,2
priority_2973,0,3,1,3,0,0,1,0
priority_2974,0,3,1,3,0,0,1,1
not_recom_2975,0,3,1,3,0,0,1,2
priority_2976,0,3,1,3,0,0,2,0
priority_2977,0,3,1,3,0,0,2,1
not_recom_2978,0,3,1,3,0,0,2,2
priority_2979,0,3,1,3,0,1,0,0
spec_prior_2980,0,3,1,3,0,1,0,1
not_recom_2981,0,3,1,3,0,1,0,2
priority_2982,0,3,1,3,0,1,1,0
spec_prior_2983,0,3,1,3,0,1,1,1
not_recom_2984,0,3,1,3,0,1,1,2
spec_prior_2985,0,3,1,3,0,1,2,0
spec_prior_2986,0,3,1,3,0,1,2,1
not_recom_2987,0,3,1,3,0,1,2,2
priority_2988,0,3,1,3,1,0,0,0
spec_prior_2989,0,3,1,3,1,0,0,1
not_recom_2990,0,3,1,3,1,0,0,2
priority_2991,0,3,1,3,1,0,1,0
spec_prior_2992,0,3,1,3,1,0,1,1
not_recom_2993,0,3,1,3,1,0,1,2
spec_prior_2994,0,3,1,3,1,0,2,0
spec_prior_2995,0,3,1,3,1,0,2,1
not_recom_2996,0,3,1,3,1,0,2,2
priority_2997,0,3,1,3,1,1,0,0
spec_prior_2998,0,3,1,3,1,1,0,1
not_recom_2999,0,3,1,3,1,1,0,2
priority_3000,0,3,1,3,1,1,1,0
